method,keep_rate,turn_recall,session_recall,compression,ms_per_q
Random,0.05,0.1375,0.8020,0.9110,0.00
TTL_recent,0.05,0.0792,0.6442,0.9110,0.00
KDF,0.05,0.2791,0.6591,0.9110,0.00
KDF+TextSim,0.05,0.1453,0.8899,0.9110,0.00
Random,0.1,0.1831,0.9024,0.8610,0.00
TTL_recent,0.1,0.0839,0.6442,0.8610,0.00
KDF,0.1,0.4493,0.9340,0.8610,0.00
KDF+TextSim,0.1,0.3437,0.9983,0.8610,0.00
Random,0.15,0.2134,0.9629,0.8230,0.00
TTL_recent,0.15,0.1082,0.6442,0.8230,0.00
KDF,0.15,0.5097,0.9993,0.8230,0.00
KDF+TextSim,0.15,0.5083,1.0000,0.8230,0.00
Random,0.2,0.2680,0.9876,0.7716,0.00
TTL_recent,0.2,0.1236,0.6477,0.7716,0.00
KDF,0.2,0.5242,1.0000,0.7716,0.00
KDF+TextSim,0.2,0.5332,1.0000,0.7716,0.00
Random,0.25,0.3035,0.9963,0.7379,0.00
TTL_recent,0.25,0.1467,0.6516,0.7379,0.00
KDF,0.25,0.5722,1.0000,0.7379,0.00
KDF+TextSim,0.25,0.5412,1.0000,0.7379,0.00
Random,0.3,0.3661,0.9990,0.6692,0.00
TTL_recent,0.3,0.1800,0.6625,0.6692,0.00
KDF,0.3,0.6646,1.0000,0.6692,0.00
KDF+TextSim,0.3,0.5685,1.0000,0.6692,0.00
Random,0.4,0.4475,1.0000,0.5792,0.00
TTL_recent,0.4,0.2734,0.6895,0.5792,0.00
KDF,0.4,0.7055,1.0000,0.5792,0.00
KDF+TextSim,0.4,0.6024,1.0000,0.5792,0.00
Random,0.5,0.5209,1.0000,0.4992,0.00
TTL_recent,0.5,0.4288,0.7342,0.4992,0.00
KDF,0.5,0.7709,1.0000,0.4992,0.00
KDF+TextSim,0.5,0.6164,1.0000,0.4992,0.00
Random,0.7,0.7512,1.0000,0.2711,0.00
TTL_recent,0.7,0.5966,0.9831,0.2711,0.00
KDF,0.7,0.8957,1.0000,0.2711,0.00
KDF+TextSim,0.7,0.8392,1.0000,0.2711,0.00
Random,1,1.0000,1.0000,0.0000,0.00
TTL_recent,1,1.0000,1.0000,0.0000,0.00
KDF,1,1.0000,1.0000,0.0000,0.00
KDF+TextSim,1,1.0000,1.0000,0.0000,0.00
